epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9623,0.93473,3.42655,1.43332,0.00137,0.57143,0.02618,0.00769,2.42416,4.76008,3.58282,0.09109,9e-05,9e-05
2,112.703,0.89917,3.17998,1.36776,0.00085,0.42857,0.02161,0.004,2.35312,5.09718,3.09083,0.0811837,0.00018373,0.00018373
3,170.049,1.01743,3.30685,1.37579,0.00088,0.42857,0.01788,0.00392,2.13635,4.77927,2.75308,0.0712709,0.00027086,0.00027086
4,229.955,0.9021,2.86108,1.35504,0.00912,0.60714,0.0686,0.03448,1.41055,4.30254,1.91558,0.0613514,0.00035139,0.00035139
5,280.383,1.00574,2.87988,1.39648,0.02564,0.83333,0.28054,0.20817,0.7364,3.66479,1.26573,0.0514253,0.00042532,0.00042532
6,326.829,0.88564,2.58811,1.32675,0.52632,0.26072,0.34663,0.28933,0.84447,3.30606,1.3356,0.0414927,0.00049265,0.00049265
7,371.801,0.94169,2.52684,1.3631,0.7091,0.32143,0.36032,0.27585,0.95126,3.23741,1.41615,0.0315534,0.00055338,0.00055338
8,432.464,1.0434,2.60455,1.42428,0.68132,0.25,0.33492,0.26583,0.99005,3.20355,1.4054,0.0216075,0.00060751,0.00060751
9,474.954,1.04962,2.43597,1.40785,0.68107,0.17857,0.37173,0.29815,0.94867,3.12041,1.34184,0.011655,0.00065504,0.00065504
10,515.708,0.94309,2.41887,1.37661,0.39867,0.39473,0.42533,0.34201,0.89437,3.08546,1.32155,0.00169597,0.00069597,0.00069597
11,555.393,0.80377,2.40673,1.34196,0.40097,0.48157,0.49123,0.41195,0.9206,3.28876,1.41883,0.00067,0.00067,0.00067
12,598.77,0.99457,2.42044,1.43997,0.42524,0.5042,0.48976,0.37631,0.91564,3.54552,1.3872,0.000637,0.000637,0.000637
13,643.523,0.83043,2.20874,1.30001,0.36719,0.50111,0.42603,0.34989,1.01093,3.77779,1.52474,0.000604,0.000604,0.000604
14,711.688,0.89589,2.31657,1.36067,0.36426,0.64656,0.44806,0.38676,0.96058,2.9429,1.52666,0.000571,0.000571,0.000571
15,767.197,0.86523,2.25857,1.32479,0.58938,0.40476,0.44206,0.40226,1.01079,2.82236,1.55797,0.000538,0.000538,0.000538
16,823.914,0.91677,2.13383,1.32837,0.60304,0.40476,0.47441,0.41919,1.00355,2.79398,1.52217,0.000505,0.000505,0.000505
17,884.602,0.85252,2.01149,1.26974,0.96379,0.36059,0.58519,0.50141,1.0008,2.78726,1.49032,0.000472,0.000472,0.000472
18,934.845,0.86135,2.11707,1.30235,0.50326,0.64284,0.61571,0.52219,0.90695,2.91207,1.40339,0.000439,0.000439,0.000439
19,988.524,0.82028,2.06681,1.28764,0.50185,0.63259,0.66218,0.55754,0.86606,2.97214,1.37717,0.000406,0.000406,0.000406
20,1049.57,0.83007,2.03645,1.2918,0.81379,0.57143,0.66823,0.56705,0.88131,2.91108,1.41313,0.000373,0.000373,0.000373
21,1099.43,0.89807,2.83804,1.40304,0.85368,0.56054,0.66614,0.56726,0.89802,2.88748,1.4428,0.00034,0.00034,0.00034
22,1142.13,0.83348,2.66547,1.41735,0.7464,0.5424,0.66182,0.57096,0.93387,2.73181,1.50053,0.000307,0.000307,0.000307
23,1178.78,0.81854,2.57142,1.36097,0.4731,0.75861,0.73073,0.6406,0.88531,2.72212,1.42533,0.000274,0.000274,0.000274
24,1216.86,0.84559,2.65896,1.39856,0.44632,0.7619,0.7268,0.65739,0.87109,2.72621,1.36806,0.000241,0.000241,0.000241
25,1252.48,0.75896,2.56169,1.3127,0.446,0.75946,0.72604,0.63545,0.85281,2.72183,1.31881,0.000208,0.000208,0.000208
26,1294,0.73728,2.4931,1.29814,0.46173,0.75762,0.72945,0.66985,0.85213,2.642,1.30623,0.000175,0.000175,0.000175
27,1335.29,0.70283,2.41614,1.25947,0.47193,0.76188,0.73392,0.67259,0.84814,2.65457,1.31063,0.000142,0.000142,0.000142
28,1380.42,0.80139,2.47156,1.30686,0.44871,0.7619,0.66286,0.61217,0.84292,2.65895,1.3047,0.000109,0.000109,0.000109
29,1429.43,0.67085,2.29822,1.24902,0.43859,0.76033,0.66436,0.61285,0.83606,2.61283,1.30921,7.6e-05,7.6e-05,7.6e-05
30,1470.11,0.71614,2.31442,1.2405,0.42503,0.70928,0.66505,0.60608,0.84138,2.57345,1.31346,4.3e-05,4.3e-05,4.3e-05
